,ts_code,ann_date,comp_type,total_share,money_cap,notes_receiv,accounts_receiv,div_receiv,int_receiv,sett_rsrv,total_cur_assets,oth_assets,fix_assets,intan_assets,r_and_d,lt_borr,st_borr,loan_oth_bank,acct_payable,div_payable,estimated_liab,total_liab,acc_receivable,payables
0,000019.SZ,20190427,1,1152535254.0,258295954.31,2225280.4,413574453.72,,306800.0,,4121898516.47,,989304590.26,589962278.07,,535817447.94,91600000.0,,,2909182.74,,1862225908.15,,
1,000019.SZ,20190427,1,1152535254.0,631638339.68,1027635.04,473646886.64,,561500.0,,4291234452.07,,993136743.51,569997392.08,,516687791.66,91600000.0,,472738283.8,2909182.74,,2131352962.29,,
2,000020.SZ,20190430,1,283161227.0,36204765.03,27134521.33,128214499.38,,,,281621189.12,,,44427614.19,,,136622458.0,,,,64411.0,255395151.34,,
3,000020.SZ,20190430,1,283161227.0,36204765.03,27134521.33,128214499.38,,,,281621189.12,,,44427614.19,,,136622458.0,,,,64411.0,255395151.34,,
4,000020.SZ,20190430,1,283161227.0,34108330.27,69185516.71,116797834.51,,,,320250569.67,,,41815689.74,,,161568657.88,,,,64411.0,293122152.72,,
5,000020.SZ,20190430,1,283161227.0,34108330.27,69185516.71,116797834.51,,,,320250569.67,,95226401.69,41815689.74,,,161568657.88,,60975306.43,,64411.0,293122152.72,,
6,000021.SZ,20190430,1,1471259363.0,5662775420.3,,,,,,10045271758.42,,,569611196.03,,,6841009619.88,,,,4310558.89,9130317260.69,,
7,000021.SZ,20190430,1,1471259363.0,5662775420.3,,,,,,10045271758.42,,2545809714.06,569611196.03,,,6841009619.88,,,,4310558.89,9130317260.69,,
8,000021.SZ,20190420,1,1471259363.0,5802787754.92,,,,,,10085960507.02,,,572892506.18,,,6713759055.39,,,,4313573.25,9152714857.01,,
9,000021.SZ,20190420,1,1471259363.0,5802787754.92,51778804.16,1541697769.59,0.0,84219006.69,,10085960507.02,,2567338583.68,572892506.18,,,6713759055.39,,1709497335.08,,4313573.25,9152714857.01,,
10,001872.SZ,20190430,1,1793412378.0,7102589101.27,182523102.29,1640858015.96,256425082.1,48103769.74,,11630514285.43,,,23888348682.74,14968306.82,8422809110.33,7669361618.42,,,66052207.09,34769055.75,57901082427.11,,
11,001872.SZ,20190330,1,1793412378.0,7070308704.75,11608669.43,1109230503.08,259804145.16,33041147.73,,10534456588.66,,22994155151.43,20761018044.54,,6971479842.18,3425291312.62,,429120690.97,66052207.09,34951392.27,47601158542.87,,
12,000023.SZ,20190426,1,138756240.0,398142961.74,71922161.52,843623573.95,,,,1981902584.13,,,4003380.59,,,347429187.4,,,3159149.71,,1715126412.28,,
13,000023.SZ,20190426,1,138756240.0,398142961.74,71922161.52,843623573.95,,,,1981902584.13,,176684523.12,4003380.59,,,347429187.4,,,3159149.71,,1715126412.28,,
14,000023.SZ,20190418,1,138756240.0,483302681.48,78760405.22,896903812.32,,,,2083810482.54,,,4129040.97,,,349829187.4,,,3159149.71,,1813532710.54,,
15,000023.SZ,20190418,1,138756240.0,483302681.48,78760405.22,896903812.32,,,,2083810482.54,,142161904.56,4129040.97,,,349829187.4,,510160116.02,3159149.71,,1813532710.54,,
16,000025.SZ,20190430,1,297281600.0,103832710.15,,97458548.16,232683.74,543900.65,,704083232.71,,,50699398.01,,4000000.0,144000000.0,,,,2225468.76,518152098.76,,
17,000025.SZ,20190430,1,297281600.0,103832710.15,,97458548.16,232683.74,543900.65,,704083232.71,,110748337.8,50699398.01,,4000000.0,144000000.0,,,,2225468.76,518152098.76,,
18,000025.SZ,20190402,1,297281600.0,169512260.69,,86104660.51,232683.74,723407.5,,709005203.49,,112674017.53,51012282.25,,34934887.55,143000000.0,,73365876.09,,2225468.76,559013315.13,,
19,000026.SZ,20190423,1,442968881.0,147427728.61,8932241.48,421762298.67,,,,2457440762.23,,,42974917.02,,4307523.75,556436738.65,,,,,947937017.15,,
20,000026.SZ,20190423,1,442968881.0,147427728.61,8932241.48,421762298.67,,,,2457440762.23,,418286761.85,42974917.02,,4307523.75,556436738.65,,,,,947937017.15,,
21,000026.SZ,20190315,1,438744881.0,164828059.97,7051846.85,370545656.61,,,,2457972575.96,,425649562.85,43545477.61,,4517110.0,547118452.97,,259913612.34,,,1029551085.72,,
22,000027.SZ,20190430,1,3964491597.0,2929671371.51,224473089.32,6069202222.11,4000012.02,18257739.25,,21428184036.99,,,4816328312.33,59127293.95,20577052918.5,1778541209.92,,,21502104.59,,59419013911.67,,
