,ts_code,ann_date,f_ann_date,comp_type,total_share,money_cap,notes_receiv,accounts_receiv,total_cur_assets,intan_assets,st_borr,total_liab
0,000019.SZ,20190427,20190427,1,1152535254.0,258295954.31,2225280.4,413574453.72,4121898516.47,589962278.07,91600000.0,1862225908.15
1,000019.SZ,20190427,20190427,1,1152535254.0,631638339.68,1027635.04,473646886.64,4291234452.07,569997392.08,91600000.0,2131352962.29
2,000020.SZ,20190430,20190430,1,283161227.0,36204765.03,27134521.33,128214499.38,281621189.12,44427614.19,136622458.0,255395151.34
3,000020.SZ,20190430,20190430,1,283161227.0,36204765.03,27134521.33,128214499.38,281621189.12,44427614.19,136622458.0,255395151.34
4,000020.SZ,20190430,20190430,1,283161227.0,34108330.27,69185516.71,116797834.51,320250569.67,41815689.74,161568657.88,293122152.72
5,000020.SZ,20190430,20190430,1,283161227.0,34108330.27,69185516.71,116797834.51,320250569.67,41815689.74,161568657.88,293122152.72
6,000021.SZ,20190430,20190430,1,1471259363.0,5662775420.3,,,10045271758.42,569611196.03,6841009619.88,9130317260.69
7,000021.SZ,20190430,20190430,1,1471259363.0,5662775420.3,,,10045271758.42,569611196.03,6841009619.88,9130317260.69
8,000021.SZ,20190420,20190420,1,1471259363.0,5802787754.92,,,10085960507.02,572892506.18,6713759055.39,9152714857.01
9,000021.SZ,20190420,20190420,1,1471259363.0,5802787754.92,51778804.16,1541697769.59,10085960507.02,572892506.18,6713759055.39,9152714857.01
10,001872.SZ,20190430,20190430,1,1793412378.0,7102589101.27,182523102.29,1640858015.96,11630514285.43,23888348682.74,7669361618.42,57901082427.11
11,001872.SZ,20190330,20190330,1,1793412378.0,7070308704.75,11608669.43,1109230503.08,10534456588.66,20761018044.54,3425291312.62,47601158542.87
12,000023.SZ,20190426,20190426,1,138756240.0,398142961.74,71922161.52,843623573.95,1981902584.13,4003380.59,347429187.4,1715126412.28
13,000023.SZ,20190426,20190426,1,138756240.0,398142961.74,71922161.52,843623573.95,1981902584.13,4003380.59,347429187.4,1715126412.28
14,000023.SZ,20190418,20190418,1,138756240.0,483302681.48,78760405.22,896903812.32,2083810482.54,4129040.97,349829187.4,1813532710.54
15,000023.SZ,20190418,20190418,1,138756240.0,483302681.48,78760405.22,896903812.32,2083810482.54,4129040.97,349829187.4,1813532710.54
16,000025.SZ,20190430,20190430,1,297281600.0,103832710.15,,97458548.16,704083232.71,50699398.01,144000000.0,518152098.76
17,000025.SZ,20190430,20190430,1,297281600.0,103832710.15,,97458548.16,704083232.71,50699398.01,144000000.0,518152098.76
18,000025.SZ,20190402,20190402,1,297281600.0,169512260.69,,86104660.51,709005203.49,51012282.25,143000000.0,559013315.13
19,000026.SZ,20190423,20190423,1,442968881.0,147427728.61,8932241.48,421762298.67,2457440762.23,42974917.02,556436738.65,947937017.15
20,000026.SZ,20190423,20190423,1,442968881.0,147427728.61,8932241.48,421762298.67,2457440762.23,42974917.02,556436738.65,947937017.15
21,000026.SZ,20190315,20190315,1,438744881.0,164828059.97,7051846.85,370545656.61,2457972575.96,43545477.61,547118452.97,1029551085.72
22,000027.SZ,20190430,20190430,1,3964491597.0,2929671371.51,224473089.32,6069202222.11,21428184036.99,4816328312.33,1778541209.92,59419013911.67
23,000027.SZ,20190430,20190430,1,3964491597.0,2929671371.51,224473089.32,6069202222.11,21428184036.99,4816328312.33,1778541209.92,59419013911.67
24,000027.SZ,20190404,20190404,1,3964491597.0,3142873970.45,56695824.87,5778948981.6,20951031087.62,4247694810.44,1805115111.24,57590249378.12
25,000028.SZ,20190425,20190425,1,428126983.0,7227934452.95,1291769217.58,11592127126.25,26350683207.7,325672972.38,2966927256.65,16600495727.05
26,000028.SZ,20190425,20190425,1,428126983.0,7227934452.95,1291769217.58,11592127126.25,26350683207.7,325672972.38,2966927256.65,16600495727.05
27,000028.SZ,20190425,20190425,1,428126983.0,8089781304.56,,,24495616328.75,319207126.15,2597652702.43,15024524026.92
28,000028.SZ,20190425,20190425,1,428126983.0,8089781304.56,1357311929.63,9336861647.92,24495616328.75,319207126.15,2597652702.43,15024524026.92
29,000030.SZ,20190430,20190430,1,1810552111.0,1285370125.97,1593587079.76,1999207324.06,6036798429.84,450876261.93,261732639.8,4801138713.04
30,000030.SZ,20190430,20190430,1,1810552111.0,1285370125.97,1593587079.76,1999207324.06,6036798429.84,450876261.93,261732639.8,4801138713.04
31,000030.SZ,20190430,20190430,1,1810552111.0,1589840102.03,1388256712.12,1719701694.43,5920355271.39,454532679.77,244961105.44,4554212656.2
32,000030.SZ,20190430,20190430,1,1810552111.0,1589840102.03,1388256712.12,1719701694.43,5920355271.39,454532679.77,244961105.44,4554212656.2
33,000031.SZ,20190430,20190430,1,3925870338.0,25986158180.33,,459966973.03,115764251831.83,1919334784.38,5069833785.63,129891303592.14
34,000031.SZ,20190430,20190430,1,3925870338.0,25986158180.33,,459966973.03,115764251831.83,1919334784.38,5069833785.63,129891303592.14
35,000031.SZ,20190404,20190404,1,1813731596.0,12001294918.79,,250267835.75,80713153093.73,53324516.27,2525000000.0,77412144528.15
36,000032.SZ,20190425,20190425,1,413219661.0,948288252.14,19887851.78,233953881.45,1709813197.35,240549920.87,33640000.0,697730338.2
37,000032.SZ,20190425,20190425,1,413219661.0,948288252.14,19887851.78,233953881.45,1709813197.35,240549920.87,33640000.0,697730338.2
38,000032.SZ,20190425,20190425,1,413219661.0,939198158.95,,,1616866785.19,244921637.84,33640000.0,637260365.49
39,000032.SZ,20190425,20190425,1,413219661.0,939198158.95,20876041.19,165261130.43,1616866785.19,244921637.84,33640000.0,637260365.49
40,000034.SZ,20190429,20190429,1,654070434.0,1830631919.48,868211025.63,7489593582.36,18681647399.67,2521837374.5,8768287079.92,20647326403.67
41,000034.SZ,20190429,20190429,1,654070434.0,1830631919.48,868211025.63,7489593582.36,18681647399.67,2521837374.5,8768287079.92,20647326403.67
