,ts_code,ann_date,f_ann_date,comp_type,net_profit,finan_exp,free_cashflow,im_net_cashflow_oper_act
0,000019.SZ,20190427,20190427,1,,,-576024956.27,
1,000019.SZ,20190427,20190427,1,320855724.38,18627801.26,-2073277104.4904,299103635.58
2,000020.SZ,20190430,20190430,1,,,29080291.2418,
3,000020.SZ,20190430,20190430,1,3295022.72,12785854.43,-9363560.1132,-21894459.66
4,000021.SZ,20190430,20190430,1,,,-455988195.786,
5,000021.SZ,20190420,20190420,1,565371989.01,-229507431.19,-45399012.5689,420770432.04
6,001872.SZ,20190430,20190430,1,,,-508544001.825,
7,001872.SZ,20190330,20190330,1,2885914753.96,1869926400.58,1778302460.5827,4288575424.84
8,000023.SZ,20190426,20190426,1,,,-101963917.64,
9,000023.SZ,20190418,20190418,1,35136374.43,25652141.07,64670358.5351,120623195.11
10,000025.SZ,20190430,20190430,1,,,,
11,000025.SZ,20190430,20190430,1,,,-74871053.7327,
12,000025.SZ,20190402,20190402,1,86139979.36,9015785.09,-98825147.7589,-6574979.97
13,000026.SZ,20190423,20190423,1,,,-158348310.37,
14,000026.SZ,20190315,20190315,1,183835095.29,27552558.81,159081032.6186,331627789.62
15,000027.SZ,20190430,20190430,1,,,,
16,000027.SZ,20190430,20190430,1,,,-2271218514.0139,
17,000027.SZ,20190404,20190404,1,716386573.59,1680683531.06,-6448266923.3807,4179062686.15
18,000028.SZ,20190425,20190425,1,,,-1574568569.09,
19,000028.SZ,20190425,20190425,1,1348431111.85,143120104.31,435422313.6643,1322606352.27
20,000030.SZ,20190430,20190430,1,,,-370670747.3711,
21,000030.SZ,20190430,20190430,1,873668594.33,-18358071.56,-199710205.3384,342085550.7
22,000031.SZ,20190430,20190430,1,,,,
23,000031.SZ,20190430,20190430,1,,,-4082712026.6983,
24,000031.SZ,20190404,20190404,1,2004363639.06,1084349674.4,-10220457610.786,-1863863180.25
25,000032.SZ,20190425,20190425,1,,,-20935289.99,
26,000032.SZ,20190425,20190425,1,111771375.49,1040594.32,336750054.4713,206094758.54
27,000034.SZ,20190429,20190429,1,,,,
28,000034.SZ,20190429,20190429,1,,,276922056.1,
29,000034.SZ,20190327,20190327,1,516026502.55,679344459.74,-1858884750.5221,360539617.54
30,000035.SZ,20190429,20190429,1,,,,
31,000035.SZ,20190429,20190429,1,,,1100559696.77,
32,000035.SZ,20190429,20190429,1,222297614.78,142499908.93,,209786562.05
33,000035.SZ,20190429,20190429,1,222297614.78,142499908.93,360186414.5027,209786562.05
34,000036.SZ,20190430,20190430,1,,,-494222415.0199,
35,000036.SZ,20190430,20190430,1,1031137706.7,21659767.02,2954901253.2222,2808043117.36
36,000037.SZ,20190423,20190423,1,,,,
37,000037.SZ,20190328,20190328,1,12452824.75,48377859.72,-27515598.8688,236563160.38
38,000038.SZ,20190430,20190430,1,,,53729885.5396,
39,000038.SZ,20190430,20190430,1,-2352749208.08,825705.99,-63331045.31,-649886684.2
40,000039.SZ,20190430,20190430,1,,,,
41,000039.SZ,20190430,20190430,1,,,-1541253469.8458,
42,000039.SZ,20190328,20190328,1,4068455000.0,1928060000.0,-10705436035.2851,140732000.0
43,000040.SZ,20190430,20190430,1,,,-1133189879.0457,
44,000040.SZ,20190430,20190430,1,1126438186.61,529118320.3,-3872860456.255,-3833258263.74
45,000042.SZ,20190427,20190427,1,,,,
46,000042.SZ,20190427,20190427,1,,,-1135562927.51,
47,000042.SZ,20190413,20190413,1,414949085.3,688410479.13,5007464770.134,3001582489.62
48,000043.SZ,20190427,20190427,1,,,-795734685.38,
49,000043.SZ,20190313,20190313,1,823981898.86,316007177.86,1853587931.3887,1281061555.44
50,000045.SZ,20190427,20190427,1,,,-45759258.26,
51,000045.SZ,20190427,20190427,1,-62302707.38,-727282.72,-332971384.66,-460494321.15
52,000046.SZ,20190430,20190430,1,,,,
53,000046.SZ,20190430,20190430,1,,,8441733451.5716,
54,000046.SZ,20190417,20190417,1,1033097635.06,2333394569.13,35946962955.38,9206547963.11
55,000046.SZ,20190417,20190417,1,1033097635.06,2333394569.13,4761905839.7565,9206547963.11
56,000048.SZ,20190430,20190430,1,,,,
57,000048.SZ,20190430,20190430,1,,,786064515.7421,
58,000048.SZ,20190415,20190415,1,449539375.54,8138835.34,1176273551.9961,1078635007.0
59,000049.SZ,20190430,20190430,1,,,,
60,000049.SZ,20190430,20190430,1,,,58638668.1024,
61,000049.SZ,20190430,20190430,1,525615431.19,217437404.53,,122168482.48
62,000049.SZ,20190430,20190430,1,525615431.19,217437404.53,-190266715.6111,122168482.48
63,000050.SZ,20190426,20190426,1,,,-2672522103.56,
64,000050.SZ,20190315,20190315,1,983879402.42,635863241.11,226411296.8231,3565216924.02
65,000055.SZ,20190423,20190423,1,,,-424145432.61,
66,000055.SZ,20190130,20190130,1,2246164571.68,84126977.13,765058010.2399,387102719.57
67,000056.SZ,20190426,20190426,1,,,-456777750.92,
68,000056.SZ,20190425,20190425,1,118662346.81,315126668.97,613332179.2601,193532356.17
69,000058.SZ,20190430,20190430,1,,,-494603781.5631,
70,000058.SZ,20190430,20190430,1,23545650.74,93022101.7,377573950.1407,167674153.73
71,000059.SZ,20190423,20190423,1,,,-1863876309.82,
72,000059.SZ,20190420,20190420,1,1123735467.37,530807821.69,2349409385.8396,2373152179.58
73,000060.SZ,20190429,20190429,1,,,,
74,000060.SZ,20190429,20190429,1,,,-1022638948.45,
75,000060.SZ,20190330,20190330,1,909577971.95,275096297.03,1710013167.6719,1971769055.95
76,000061.SZ,20190427,20190427,1,,,-208055738.65,
77,000061.SZ,20190427,20190427,1,100225915.31,315929524.49,5428613.0831,1247423260.3
78,000062.SZ,20190424,20190424,1,,,413677338.26,
79,000062.SZ,20190328,20190328,1,769568971.87,177100312.15,-501603110.0924,-26007759.27
80,000063.SZ,20190430,20190430,1,,,,
81,000063.SZ,20190430,20190430,1,,,-1228410572.5413,
82,000063.SZ,20190328,20190328,1,-6949340000.0,1173942000.0,4287694000.0,-9215386000.0
83,000065.SZ,20190430,20190430,1,,,-704705206.4954,
84,000065.SZ,20190402,20190402,1,617804602.15,-160645118.55,-299578579.4412,182382415.38
85,000066.SZ,20190430,20190430,1,,,-914761998.6103,
86,000066.SZ,20190430,20190430,1,1056365601.84,96758019.84,-509168654.0858,44859987.74
87,000068.SZ,20190430,20190430,1,,,,
88,000068.SZ,20190430,20190430,1,,,-232535568.89,
89,000068.SZ,20190420,20190420,1,-139688508.48,46143533.88,-581491848.26,-49603851.94
90,000069.SZ,20190426,20190426,1,,,,
91,000069.SZ,20190426,20190426,1,,,-5455219672.74,
92,000069.SZ,20190330,20190330,1,11294328846.78,2346378006.78,-23794633351.5959,-9984217376.99
93,000070.SZ,20190430,20190430,1,,,,
94,000070.SZ,20190430,20190430,1,,,-310891584.1848,
95,000070.SZ,20190416,20190416,1,313182375.19,65141683.9,-457281061.4225,-81135219.37
96,600282.SH,20190430,20190430,1,,,600671281.6198,
97,600282.SH,20190323,20190323,1,4740890937.02,433695077.66,4394024011.9364,4938472682.58
98,600283.SH,20190427,20190427,1,,,,
99,600283.SH,20190427,20190427,1,,,-120111408.38,
100,600283.SH,20190404,20190404,1,90789787.96,77443766.72,-135952859.4401,398920865.66
101,600285.SH,20190425,20190425,1,,,9763869.31,
102,600285.SH,20190425,20190425,1,245765711.24,16266688.98,633434218.7265,436248604.92
103,600287.SH,20190427,20190427,1,,,,
104,600287.SH,20190427,20190427,1,,,-799925818.03,
105,600287.SH,20190326,20190326,1,118495900.53,5746728.61,123309880.395,107738777.44
106,600288.SH,20190426,20190426,1,,,,
107,600288.SH,20190403,20190403,1,71517307.7,15564852.57,-73463102.4962,45290451.46
108,600850.SH,20190424,20190424,1,,,-494002611.38,
109,600850.SH,20190424,20190424,1,323981430.85,5169400.57,32033725.8903,80426129.75
110,600851.SH,20190427,20190427,1,,,85810541.61,
111,600851.SH,20190416,20190416,1,156013244.47,9209976.07,-204172364.5697,55503931.33
112,600853.SH,20190430,20190430,1,,,-850735232.82,
