,ts_code,ann_date,end_date,revenue,operate_profit,n_income,total_assets,diluted_roe
0,000019.SZ,20190413,20181231,10758780000.0,341230000.0,314210000.0,6474830000.0,7.84
1,000019.SZ,20180414,20171231,315762700.0,-57180700.0,-54094100.0,1070169000.0,-5.46
2,000019.SZ,20170415,20161231,273383600.0,93596600.0,96620700.0,1178543700.0,9.82
3,000021.SZ,20190410,20181231,16061006000.0,699361900.0,530073200.0,15539378900.0,8.67
4,000021.SZ,20180320,20171231,14209778600.0,733983000.0,541303000.0,16537049400.0,9.79
5,000023.SZ,20190413,20181231,1611330000.0,60760000.0,26320000.0,2320490000.0,6.24
6,000023.SZ,20180414,20171231,1229190000.0,21920000.0,30500000.0,1951620000.0,7.63
7,000027.SZ,20190124,20181231,18518430000.0,1191740000.0,730680000.0,86864940000.0,3.21
8,000027.SZ,20180719,20180630,7973110000.0,730440000.0,541230000.0,78157720000.0,2.57
9,000027.SZ,20180203,20171231,15482740000.0,1373900000.0,780360000.0,75094000000.0,3.59
10,000027.SZ,20170114,20161231,11427830000.0,1918520000.0,1407450000.0,60605500000.0,6.5
11,000028.SZ,20190321,20181231,43122385500.0,1665602100.0,1205365700.0,28923689500.0,11.59
12,000028.SZ,20170321,20161231,41248429300.0,1548158500.0,1186601900.0,21312754500.0,15.08
13,000032.SZ,20180414,20171231,1721063809.24,32147754.93,26371245.4,1927338865.54,1.83
14,000035.SZ,20190415,20181231,1846883100.0,285251800.0,213814600.0,8808911200.0,6.83
15,000036.SZ,20190320,20181231,3351334520.55,1431425680.83,1000282687.09,11115774119.11,20.38
16,000036.SZ,20180414,20171231,3971747004.38,1620849992.83,1354286662.25,8722409246.87,34.78
17,000036.SZ,20170415,20161231,2171743816.69,1789952031.87,1255016578.85,9622078823.86,47.02
18,000037.SZ,20190306,20181231,1884937100.0,-9673700.0,19253800.0,3307148300.0,0.98
19,000038.SZ,20190415,20181231,2591464600.0,-2315217700.0,-2350345100.0,3245183900.0,-57.4
20,000040.SZ,20190415,20181231,8676289500.0,1368396600.0,1087643700.0,34221918000.0,8.94
21,000040.SZ,20180414,20171231,8139880900.0,563627700.0,539495400.0,28898928800.0,4.81
22,000042.SZ,20180414,20171231,8666648200.0,1063278800.0,626101000.0,43811596400.0,10.17
23,000045.SZ,20190413,20181231,1272356800.0,-54469200.0,-22980600.0,4619203400.0,-0.96
24,000045.SZ,20180110,20171231,1452650000.0,80620000.0,51450000.0,4221250000.0,2.18
25,000045.SZ,20170110,20161231,1198270000.0,-91440000.0,-85380000.0,4114800000.0,-3.78
26,000046.SZ,20190415,20181231,12404075900.0,208368900.0,930839300.0,212096668200.0,4.64
27,000046.SZ,20180411,20171231,16876339000.0,3758124700.0,2891318700.0,187775062700.0,15.14
28,000046.SZ,20170415,20161231,24670534800.0,3606295100.0,3109104900.0,167835999400.0,18.17
29,000048.SZ,20190412,20181231,3436940910.61,623660665.47,437394982.71,5182504077.75,54.95
30,000048.SZ,20180414,20171231,2943273761.71,454241343.18,286449779.48,3796670522.32,32.74
31,000048.SZ,20170415,20161231,1560809450.46,-10114814.89,6134144.0,1966577609.86,0.85
32,000049.SZ,20180725,20180630,6310244289.03,217923638.84,133370249.21,6472630302.35,9.17
33,000056.SZ,20180414,20171231,702271639.39,280627523.46,177200473.29,14171401182.58,3.4
34,000056.SZ,20170415,20161231,392021547.43,101483464.72,116695331.01,10643723808.59,2.3
35,000058.SZ,20180726,20180630,889418953.59,201660026.64,97666987.94,6311893613.19,5.01
36,000058.SZ,20180418,20171231,2030445390.62,421700416.72,219553261.1,6992590420.75,11.96
37,000059.SZ,20190413,20181231,36683290538.29,1379103015.95,1055368991.36,32460677530.24,8.32
38,000059.SZ,20170413,20161231,29103942295.17,2260416641.97,1803243467.38,31370608575.54,19.11
39,000061.SZ,20190413,20181231,2302055700.0,268384700.0,42767100.0,18999687800.0,0.87
40,000063.SZ,20180202,20171231,108820352000.0,6681282000.0,4553788000.0,142906134000.0,15.68
41,000063.SZ,20171019,20170930,76579739000.0,5286675000.0,3904652000.0,146028404000.0,13.64
