,ts_code,ann_date,end_date,current_ratio,quick_ratio,cash_ratio,inv_turn,ar_turn,ca_turn,fa_turn,assets_turn,profit_to_gr,gc_of_gr,roe,op_yoy,equity_yoy
0,000019.SZ,20190427,20190331,3.4418,0.925,0.602,0.7926,5.7948,0.6111,2.5934,0.4013,4.8332,95.088,2.8661,-3.5984,358.6985
1,000019.SZ,20190427,20181231,2.889,0.996,0.7683,6.5341,39.0632,4.465,16.4648,2.854,2.9823,96.9563,12.0455,-4.6873,8.4116
2,000019.SZ,20181030,20180930,7.4946,5.1524,4.1762,1.0279,3.0142,0.427,0.7089,0.2085,-14.5456,114.1292,-3.2163,1.3489,-5.8839
3,000019.SZ,20180828,20180630,6.1072,4.171,3.737,0.6184,1.9223,0.2631,0.4429,0.1295,-14.0621,113.3889,-1.9457,15.9749,-6.3296
4,000019.SZ,20180424,20180331,6.8492,4.6164,4.5446,0.2688,0.8055,0.1114,0.1846,0.0545,-19.9747,120.331,-1.1489,-4.3733,-8.3914
5,000019.SZ,20180424,20171231,5.6689,4.0012,3.845,1.66,4.5181,0.5571,0.9765,0.2808,-19.3984,119.0186,-5.4677,-156.2536,-8.2235
6,000019.SZ,20171025,20170930,4.6201,3.2887,2.7422,1.144,2.9073,0.3898,0.7081,0.1997,-13.3303,113.5917,-2.631,27.3381,7.2912
7,000019.SZ,20170828,20170630,5.5169,4.0493,3.0072,0.7189,2.0525,0.2367,0.4207,0.1201,-14.8938,115.6427,-1.7556,16.662,7.7026
8,000019.SZ,20170424,20170331,4.8545,3.7443,2.7054,0.3278,0.938,0.0983,0.1811,0.0507,-18.5283,118.1224,-0.9659,10.9104,9.9427
9,000020.SZ,20190430,20190331,1.103,0.8257,0.7805,1.8536,1.1748,0.4782,,0.2405,0.1794,99.8114,0.0797,36.6726,1.0112
10,000020.SZ,20190430,20181231,1.0928,0.8779,0.7707,9.1875,4.7971,1.9063,7.124,1.0218,0.5172,99.5689,1.0223,-23.9139,1.0275
11,000020.SZ,20181030,20180930,1.1296,0.9554,0.785,7.9591,3.4111,1.4532,,0.7904,0.1015,100.2387,0.155,84.2772,0.351
12,000020.SZ,20180828,20180630,1.1591,0.9532,0.8629,5.2175,2.155,1.0315,4.0602,0.5575,0.8191,99.2955,0.8672,30.7309,0.5037
13,000020.SZ,20180424,20180331,1.1532,0.9508,0.8752,2.6132,1.1962,0.5123,2.0665,0.2791,0.1791,99.9357,0.0958,-134.6326,0.2688
14,000020.SZ,20180424,20171231,1.1265,0.9311,0.9278,14.5011,5.9461,2.4592,10.3901,1.3596,0.1136,99.4656,0.3043,-37.2384,0.3048
15,000020.SZ,20171031,20170930,1.1245,0.9776,0.9594,12.103,3.7417,1.7615,8.4406,1.0182,0.0518,100.225,0.1089,-137.6233,1.2104
16,000020.SZ,20170829,20170630,1.1255,0.9801,0.9646,8.0533,2.4171,1.1662,5.4464,0.668,0.4884,99.55,0.6692,-75.885,0.9933
17,000020.SZ,20170425,20170331,1.1287,1.0154,0.9591,4.1299,1.1584,0.5361,2.3653,0.2999,0.2196,100.0011,0.1317,-101.2981,1.5124
18,000021.SZ,20190430,20190331,1.1205,0.8839,0.8236,1.5859,,0.3617,1.4241,0.2335,3.0828,97.0394,1.6359,24.7683,9.541
19,000021.SZ,20190420,20181231,1.1195,0.8758,0.8374,7.9645,10.1407,1.5084,6.4172,0.9995,3.5202,99.0616,8.7308,-4.7169,7.3295
20,000021.SZ,20181031,20180930,1.1262,0.8723,0.8218,6.6915,,1.264,5.0985,0.819,3.6295,99.098,7.3247,-1.9798,6.3616
21,000021.SZ,20180818,20180630,1.0824,0.8778,0.7865,4.6275,5.0933,0.8008,3.3072,0.5251,2.1681,99.1524,2.9288,-40.2817,3.486
22,000021.SZ,20180428,20180331,1.0931,0.9116,0.7602,2.3078,2.4672,0.3778,1.5803,0.2509,2.2772,99.1386,1.4595,20.6244,3.8109
23,000021.SZ,20180412,20171231,1.0781,0.9196,0.8333,9.9705,7.3473,1.5381,5.7102,1.0036,4.0387,98.5188,9.7398,119.2136,11.3746
24,000021.SZ,20171031,20170930,1.119,0.9963,0.9444,8.6163,4.9449,1.1134,4.3773,0.7525,4.5553,98.2805,8.4741,43.3532,8.1928
25,000021.SZ,20170825,20170630,1.1502,1.0138,0.9834,6.1067,3.3678,0.8288,2.962,0.5442,4.4867,98.6867,5.6233,28.3832,7.1982
26,000021.SZ,20170429,20170331,1.1643,1.0058,0.9589,2.9272,1.6263,0.4305,1.4085,0.2744,3.5256,98.0833,2.143,-50.6059,5.7113
27,001872.SZ,20190430,20190331,0.7371,0.7269,0.627,12.2921,1.9657,0.2439,,0.0198,79.0305,90.9274,2.6204,128.297,628.8784
28,001872.SZ,20190330,20181231,1.063,1.052,0.9072,88.0051,14.2038,1.6598,0.7208,0.1427,29.7413,92.751,6.1116,-39.2021,8.0272
29,001872.SZ,20181031,20180930,0.8318,0.8174,0.7923,50.1785,5.9852,1.7102,0.5112,0.2329,34.7196,63.8804,9.4947,0.0962,-4.9465
30,001872.SZ,20180831,20180630,0.6863,0.6728,0.6507,34.8933,4.4179,1.2499,0.3556,0.1661,35.58,62.6888,6.7196,16.7187,-4.0077
