,ts_code,ann_date,type,p_change_min,p_change_max
0,000019.SZ,20190413,续盈,-20.4929,11.31
1,000019.SZ,20190131,续盈,-22.326,8.7437
2,000019.SZ,20181013,续亏,-28.8416,-6.1048
3,000019.SZ,20180714,续亏,-29.5061,15.5395
4,000019.SZ,20180414,续亏,-31.0747,-0.8267
5,000019.SZ,20180130,首亏,-165.2034,-145.5389
6,000020.SZ,20180331,预减,-90.84,-63.35
7,000020.SZ,20180131,首亏,-154.9681,-109.1614
8,000021.SZ,20180130,预增,142.51,189.15
9,001872.SZ,20190413,预增,83.5,136.1
10,001872.SZ,20190130,预减,-54.76,-42.07
11,000023.SZ,20190413,扭亏,367.0,450.0
12,000023.SZ,20181013,预减,-73.0,-65.0
13,000023.SZ,20180714,预减,-97.0,-92.0
14,000023.SZ,20180414,首亏,-157.0,-138.0
15,000023.SZ,20180116,预增,181.0,232.0
16,000025.SZ,20190308,略增,16.66,40.59
17,000025.SZ,20180414,预增,189.21,300.44
18,000025.SZ,20180131,预增,109.61,157.41
19,000026.SZ,20190130,略增,25.0,35.0
20,000027.SZ,20190413,预增,443.0,607.54
21,000031.SZ,20190412,略增,6.0,36.0
22,000031.SZ,20190130,预增,16.36,58.67
23,000031.SZ,20181013,预增,50.0,100.0
24,000031.SZ,20180706,预增,285.0,335.0
25,000031.SZ,20180412,预增,50.0,100.0
26,000032.SZ,20190126,预增,108.83,161.04
27,000032.SZ,20181013,略增,34.16,46.2
28,000032.SZ,20180712,预增,48.62,75.64
29,000032.SZ,20180414,预增,77.19,125.51
30,000032.SZ,20180130,预减,-70.35,-55.53
31,000034.SZ,20180623,略增,25.0,35.0
32,000034.SZ,20180130,预增,62.21,84.5
33,000035.SZ,20190415,续盈,-7.3157,8.573
34,000036.SZ,20190320,预增,156.35,203.83
35,000036.SZ,20180712,预减,-65.77,-61.97
36,000036.SZ,20180414,预减,-86.16,-84.84
37,000037.SZ,20190411,续亏,-160.0,-160.0
38,000037.SZ,20181010,扭亏,1817.5273,1817.5273
39,000037.SZ,20180709,扭亏,232.5721,232.5721
40,000037.SZ,20180412,续亏,59.84,59.84
41,000037.SZ,20180118,预减,-98.78,-98.78
42,000038.SZ,20190415,预减,-91.92,-91.92
