,ts_code,ann_date,f_ann_date,report_type,basic_eps,diluted_eps,operate_profit,total_profit,n_income
0,000001.SZ,20190424,20190424,1,0.38,0.36,9667000000,9671000000,7446000000
1,000002.SZ,20190430,20190430,1,0.102,0.102,5885526192,5871699645,3205934375
2,000005.SZ,20190425,20190425,1,0.1406,0.1406,172744390,172423126,156748626.1
3,000006.SZ,20190430,20190430,1,0.0821,0.0821,133422644.4,134159312.6,115678853.6
4,000007.SZ,20190430,20190430,1,0.03,0.03,11747841.7,11749042.68,8873763.19
5,000008.SZ,20190427,20190427,1,0.0042,0.0042,18694458.33,19864796.51,10638768.5
6,000009.SZ,20190430,20190430,1,0.1,0.1,1072545827,1034886531,665070544.3
7,000010.SZ,20190430,20190430,1,0.0035,0.0035,20424072.7,19995693.59,19871132.26
8,000011.SZ,20190430,20190430,1,0.1316,0.1316,103889653,104552824.8,73648041.42
9,000012.SZ,20190426,20190426,1,0.05,0.05,164768962,164032578,135938404
10,000014.SZ,20190426,20190426,1,-0.0335,-0.0335,-13137951.43,-9040749.43,-6842309.15
11,000016.SZ,20190430,20190430,1,0.0355,0.0355,161158039.3,185017992.6,158453415.1
12,000017.SZ,20190430,20190430,1,-0.0007,-0.0007,-542728.04,-484332.04,-484332.04
13,000018.SZ,20190430,20190430,1,-0.08,-0.08,-128964725.7,-128964725.7,-128964725.7
14,000019.SZ,20190427,20190427,1,0.2675,0.2675,341220603.3,339344589.7,320855724.4
15,000020.SZ,20190430,20190430,1,0.0116,0.0116,4046152.96,4591957.26,3295022.72
16,000021.SZ,20190430,20190430,1,0.0706,0.0706,139284512.9,139097000.5,112240782.9
17,000023.SZ,20190426,20190426,1,0.1074,0.1074,27761064.15,31510321.38,23366234.61
18,000025.SZ,20190430,20190430,1,0.0606,0.0606,18428518.65,17604336.21,16927936.91
19,000026.SZ,20190423,20190423,1,0.1467,0.1453,82187315.46,81994913.52,64359084.46
20,000027.SZ,20190430,20190430,1,0.0928,0.0928,445235435,496441887.6,406026101.4
21,000028.SZ,20190425,20190425,1,2.83,2.83,1670978854,1678929358,1348431112
22,000030.SZ,20190430,20190430,1,0.49,0.49,861965096.8,902065265.9,873668594.3
23,000031.SZ,20190430,20190430,1,0.3,0.3,2529194814,2535077121,1805222765
24,000032.SZ,20190425,20190425,1,0.26,0.26,133710690.8,145235864.8,111771375.5
25,000034.SZ,20190429,20190429,1,0.2089,0.2089,182817971,185105163.9,136654319.8
26,000035.SZ,20190429,20190429,1,0.1602,0.1602,286659507.1,293190410.3,222297614.8
27,000036.SZ,20190430,20190430,1,0.849,0.849,1421445425,1425668297,1031137707
28,000037.SZ,20190423,20190423,1,-0.05,-0.05,-33516269.31,-33436971.68,-34410524.57
29,000038.SZ,20190430,20190430,1,0.0081,0.0081,9530613.17,8469828.96,4461261.81
30,000039.SZ,20190430,20190430,1,0.1191,0.119,648577000,686885000,511627000
31,000040.SZ,20190430,20190430,1,0.83,0.83,1380314390,1373596456,1126438187
32,000042.SZ,20190427,20190427,1,0.3488,0.3488,319870598.9,316448456.8,201817048.4
33,000043.SZ,20190427,20190427,1,0.0825,0.0825,68592635.02,69856654,49270399.32
34,000045.SZ,20190427,20190427,1,0.0203,0.0203,13011177.96,13013619.73,9571657.37
35,000046.SZ,20190430,20190430,1,0.4012,0.4012,2844214007,2840101663,2224078051
36,000048.SZ,20190430,20190430,1,0.2838,0.2838,153317178.4,152447918.2,111201805.7
37,000049.SZ,20190430,20190430,1,1.9556,1.9556,677690962.5,676266213.3,525615431.2
38,000050.SZ,20190426,20190426,1,0.1413,0.1413,294967302.6,298951027.7,289479369.9
39,000055.SZ,20190423,20190423,1,0.06,0.06,88907447.35,89511709.57,69998533.09
40,000056.SZ,20190426,20190426,1,0.04,0.04,74149767.5,73869066.29,59866801.23
41,000058.SZ,20190430,20190430,1,0.0486,0.0486,98920246.1,99744784.64,70293155.02
42,000059.SZ,20190423,20190423,1,0.2157,0.2157,464219913.8,463814707.1,363429274.5
43,000060.SZ,20190429,20190429,1,0.07,0.07,315210472.6,315332067.2,264620649.9
44,000061.SZ,20190427,20190427,1,0.0252,0.0252,268384713.1,238561252.9,100225915.3
45,000062.SZ,20190424,20190424,1,0.1635,0.1635,176838681.1,177936184.3,137007123.1
46,000063.SZ,20190430,20190430,1,0.21,0.2,1464013000,1387264000,1109306000
47,000065.SZ,20190430,20190430,1,0.05,0.05,48014682.94,47967982.84,39481590.16
48,000066.SZ,20190430,20190430,1,0.336,0.336,1327734859,1320607565,1056365602
49,000068.SZ,20190430,20190430,1,-0.0284,-0.0284,-29946202.88,-29925719.68,-29914255.25
50,000069.SZ,20190426,20190426,1,0.1461,0.1461,1733793967,1736465687,1249342956
51,000070.SZ,20190430,20190430,1,0.0583,0.0583,46641702.36,46845441.01,40227949.01
52,000078.SZ,20190427,20190427,1,0.156,0.156,978848135.1,1006306072,693348293.7
53,000088.SZ,20190427,20190427,1,0.02,0.02,58282795.9,58513375.6,49784746.18
54,000089.SZ,20190427,20190427,1,0.0843,0.0843,227255470.4,227328144.7,175611762.9
55,000090.SZ,20190423,20190423,1,0.0444,0.0444,96925623.43,96677419.68,63559152.2
56,000096.SZ,20190426,20190426,1,0.0196,0.0196,16221870.46,16298182.53,11156689.25
57,000099.SZ,20190423,20190423,1,0.0357,0.0357,32065644.09,32169704.55,21652283.09
58,000100.SZ,20190424,20190424,1,0.0578,0.0576,1197088206,1219417833,1006077530
59,000150.SZ,20190430,20190430,1,0.0846,0.0846,65041496.86,64975499.37,54423589.92
60,000151.SZ,20190420,20190420,1,0.0019,0.0019,909544.18,909544.18,575671.7
61,000153.SZ,20190426,20190426,1,0.1921,0.1921,92545444.45,93094747.29,60707441.73
62,000155.SZ,20190427,20190427,1,0.24,0.24,244728038.8,322203878.9,410931768.7
63,000156.SZ,20190430,20190430,1,0.45,0.45,662616343.2,653900419,644188211.4
64,000157.SZ,20190430,20190430,1,0.13,0.13,1140544205,1143672426,981432278.4
65,000158.SZ,20190430,20190430,1,0.11,0.11,215871696.3,275392366.9,182935851
66,000159.SZ,20190416,20190416,1,0.1245,0.1245,73376880.76,74649365.73,49833590.74
67,000166.SZ,20190430,20190430,1,0.08,0.08,2413315066,2417074416,1878937316
68,000301.SZ,20190430,20190430,1,0.08,0.08,394688851.8,395755437,315340186.3
69,000333.SZ,20190430,20190430,1,0.94,0.93,7683772000,7718955000,6541245000
70,000338.SZ,20190429,20190429,1,0.33,0.33,4158999124,4183471651,3372582747
71,000400.SZ,20190426,20190426,1,0.025,0.025,35444892.61,36057248.43,28325767.63
72,000401.SZ,20190424,20190424,1,0.033,0.033,152427678.7,154219741.2,107895345.7
73,000402.SZ,20190427,20190427,1,0.2,0.2,938078324.7,956463575.6,689231487.9
74,000403.SZ,20190430,20190430,1,0.0893,0.0893,22270008.52,30273618.52,23412904.88
75,000404.SZ,20190420,20190420,1,0.0188,0.0188,38918934.12,39976256.88,31597614.64
76,000407.SZ,20190427,20190427,1,0.04,0.04,73539843.48,74143361.97,53655457.85
77,000408.SZ,20190430,20190430,1,0.6516,0.6516,1611895019,1596857178,1299161850
78,000409.SZ,20190423,20190423,1,0.0606,0.0606,160493731.7,157743798.2,127355235.5
79,000410.SZ,20190429,20190429,1,-0.59,-0.59,-460568683.2,-471891011.1,-469653021.8
80,000411.SZ,20190429,20190429,1,0.147,0.147,98484762.99,96272006.87,70745595.17
81,000413.SZ,20190430,20190430,1,0.38,0.38,2727661062,2737831628,2268828086
82,000415.SZ,20190430,20190430,1,0.205,0.205,2054198000,2052926000,1680362000
83,000416.SZ,20190430,20190430,1,0.014,0.014,10890326.64,10890326.64,7953397.93
