,ts_code,ann_date,f_ann_date,report_type,basic_eps,diluted_eps,operate_profit,total_profit,n_income
0,000019.SZ,20190427,20190427,1,0.1053,0.1053,130862266.02,129158705.74,124242711.68
1,000019.SZ,20190427,20190427,1,0.2675,0.2675,341220603.31,339344589.72,320855724.38
2,000020.SZ,20190430,20190430,1,0.0009,0.0009,302402.73,342583.93,258233.98
3,000020.SZ,20190430,20190430,1,0.0009,0.0009,302402.73,342583.93,258233.98
4,000020.SZ,20190430,20190430,1,0.0116,0.0116,4046152.96,4591957.26,3295022.72
5,000020.SZ,20190430,20190430,1,0.0116,0.0116,4046152.96,4591957.26,3295022.72
6,000021.SZ,20190430,20190430,1,0.0706,0.0706,139284512.86,139097000.48,112240782.87
7,000021.SZ,20190420,20190420,1,0.3603,0.3603,699361910.89,698919523.14,565371989.01
8,000021.SZ,20190420,20190420,1,0.3603,0.3603,699361910.89,698919523.14,565371989.01
9,001872.SZ,20190430,20190430,1,0.454,0.454,2561917015.08,2564791542.35,2136110654.16
10,001872.SZ,20190330,20190330,1,0.61,0.61,3672257901.15,3614355292.56,2885914753.96
11,000023.SZ,20190426,20190426,1,0.1074,0.1074,27761064.15,31510321.38,23366234.61
12,000023.SZ,20190418,20190418,1,0.1897,0.1897,60759604.1,60111793.88,35136374.43
13,000025.SZ,20190430,20190430,1,0.0606,0.0606,18428518.65,17604336.21,16927936.91
14,000025.SZ,20190430,20190430,1,0.0606,0.0606,18428518.65,17604336.21,16927936.91
15,000025.SZ,20190402,20190402,1,0.2924,0.2924,92292148.44,90551859.81,86139979.36
16,000026.SZ,20190423,20190423,1,0.1467,0.1453,82187315.46,81994913.52,64359084.46
17,000026.SZ,20190315,20190315,1,0.419,0.419,230403104.49,231196947.05,183835095.29
18,000027.SZ,20190430,20190430,1,0.0928,0.0928,445235434.98,496441887.63,406026101.41
19,000027.SZ,20190430,20190430,1,0.0928,0.0928,445235434.98,496441887.63,406026101.41
20,000027.SZ,20190404,20190404,1,0.17,0.17,1198532595.55,1215437891.99,716386573.59
21,000028.SZ,20190425,20190425,1,0.7,0.7,424837972.75,426318432.93,344620326.64
22,000028.SZ,20190425,20190425,1,2.83,2.83,1670978854.17,1678929357.53,1348431111.85
23,000028.SZ,20190425,20190425,1,2.83,2.83,1670978854.17,1678929357.53,1348431111.85
