,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002219.SZ,20190517,3.6,3.64,3.44,3.51,3.6,-0.09,-2.5,298058.05,104767.876
1,601186.SH,20190517,10.1,10.1,9.86,9.89,10.09,-0.2,-1.9822,657454.54,654475.058
2,002223.SZ,20190517,23.14,23.15,22.27,22.28,23.21,-0.93,-4.0069,87161.56,196815.663
3,002225.SZ,20190517,4.8,4.8,4.55,4.59,4.8,-0.21,-4.375,54558.3,25458.687
4,002228.SZ,20190517,5.05,5.07,4.97,5.01,5.07,-0.06,-1.1834,117657.6,58868.595
5,002227.SZ,20190517,13.08,13.1,12.2,12.34,13.02,-0.68,-5.2227,16865.0,21386.014
6,002244.SZ,20190517,4.36,4.39,4.14,4.17,4.34,-0.17,-3.9171,190117.33,81108.641
7,002237.SZ,20190517,10.6,10.73,10.32,10.45,10.89,-0.44,-4.0404,292863.96,309864.851
8,002230.SZ,20190517,30.81,31.48,29.79,29.83,30.9,-1.07,-3.4628,313678.38,959750.277
9,002235.SZ,20190517,9.15,9.24,8.7,8.79,9.34,-0.55,-5.8887,495208.15,444832.349
10,002231.SZ,20190517,7.85,8.68,7.72,8.3,8.1,0.2,2.4691,338919.89,281365.748
11,002229.SZ,20190517,8.36,8.66,8.24,8.26,8.35,-0.09,-1.0778,203846.59,172263.368
12,002249.SZ,20190517,4.82,4.93,4.51,4.55,4.88,-0.33,-6.7623,385930.85,181945.099
13,002253.SZ,20190517,14.6,14.72,14.05,14.12,14.77,-0.65,-4.4008,29405.88,42367.645
14,002246.SZ,20190517,8.33,8.38,7.82,7.87,8.36,-0.49,-5.8612,66877.83,54041.292
15,002234.SZ,20190517,33.3,35.6,32.5,34.1,32.57,1.53,4.6976,325319.11,1106907.51
16,002233.SZ,20190517,11.44,11.48,11.1,11.15,11.49,-0.34,-2.9591,111883.91,125797.26
17,002243.SZ,20190517,16.22,16.3,15.0,15.17,16.23,-1.06,-6.5311,146519.55,228736.15
18,002236.SZ,20190517,14.17,14.27,13.26,13.37,14.14,-0.77,-5.4455,679493.92,926748.806
19,002240.SZ,20190517,8.42,8.47,7.81,7.9,8.61,-0.71,-8.2462,211902.85,172791.7
