,ts_code,ts_code_num,income_sort,balancesheet_sort,cashflow_sort,forecast_sort,express_sort,fina_indicator_sort,transaction_sort,pct_chg
0,000019.SZ,000019,9.0,8.0,9.0,9.0,4.0,11.0,3.0,0.0
1,000020.SZ,000020,8.0,7.0,9.0,17.0,0.0,11.0,1.0,0.0
2,000021.SZ,000021,6.0,12.0,9.0,6.0,3.0,11.0,4.0,0.0
3,001872.SZ,001872,2.0,14.0,9.0,11.0,0.0,11.0,6.0,0.0
4,000023.SZ,000023,8.0,0.0,9.0,19.0,5.0,11.0,6.0,0.0
5,000025.SZ,000025,8.0,0.0,9.0,8.0,0.0,11.0,8.0,0.0
6,000026.SZ,000026,6.0,0.0,9.0,8.0,0.0,11.0,4.0,0.0
7,000027.SZ,000027,4.0,14.0,9.0,19.0,11.0,11.0,3.0,0.0
8,000028.SZ,000028,13.0,12.0,9.0,0.0,10.0,11.0,5.0,0.0
9,000030.SZ,000030,4.0,2.0,9.0,0.0,0.0,11.0,4.0,0.0
10,000031.SZ,000031,2.0,0.0,7.0,8.0,0.0,11.0,4.0,0.0
11,000032.SZ,000032,6.0,8.0,9.0,11.0,5.0,11.0,1.0,0.0
12,000034.SZ,000034,6.0,0.0,9.0,8.0,0.0,11.0,5.0,0.0
13,000035.SZ,000035,9.0,12.0,9.0,9.0,7.0,11.0,3.0,0.0
14,000035.SZ,000035,9.0,12.0,9.0,9.0,7.0,11.0,3.0,0.0
15,000036.SZ,000036,13.0,0.0,9.0,6.0,7.0,11.0,4.0,0.0
16,000037.SZ,000037,8.0,7.0,9.0,14.0,5.0,11.0,5.0,0.0
17,000038.SZ,000038,8.0,8.0,9.0,17.0,5.0,11.0,5.0,0.0
18,000039.SZ,000039,4.0,16.0,7.0,10.0,0.0,11.0,8.0,0.0
19,000040.SZ,000040,13.0,12.0,9.0,17.0,10.0,11.0,4.0,0.0
20,000042.SZ,000042,9.0,0.0,9.0,6.0,10.0,11.0,1.0,0.0
21,000043.SZ,000043,8.0,0.0,9.0,19.0,0.0,11.0,0.0,0.0
22,000045.SZ,000045,8.0,8.0,9.0,10.0,5.0,11.0,1.0,0.0
23,000046.SZ,000046,2.0,0.0,15.0,10.0,12.0,11.0,3.0,0.0
24,000048.SZ,000048,6.0,0.0,9.0,19.0,5.0,11.0,5.0,0.0
25,000049.SZ,000049,4.0,2.0,9.0,10.0,7.0,11.0,5.0,0.0
26,000050.SZ,000050,9.0,14.0,9.0,0.0,0.0,11.0,8.0,0.0
27,000055.SZ,000055,6.0,2.0,9.0,10.0,0.0,11.0,4.0,0.0
28,000056.SZ,000056,6.0,0.0,9.0,8.0,3.0,11.0,4.0,1.0
29,000058.SZ,000058,6.0,9.0,9.0,17.0,7.0,11.0,3.0,0.0
30,000059.SZ,000059,4.0,0.0,9.0,8.0,10.0,11.0,4.0,0.0
31,000060.SZ,000060,9.0,2.0,9.0,10.0,0.0,11.0,4.0,0.0
32,000061.SZ,000061,9.0,12.0,9.0,4.0,3.0,11.0,3.0,0.0
33,000062.SZ,000062,6.0,0.0,9.0,10.0,0.0,11.0,5.0,0.0
34,000063.SZ,000063,13.0,0.0,12.0,12.0,12.0,11.0,8.0,0.0
35,000065.SZ,000065,8.0,0.0,9.0,10.0,7.0,11.0,8.0,0.0
36,000066.SZ,000066,13.0,2.0,9.0,17.0,3.0,11.0,4.0,0.0
37,000068.SZ,000068,8.0,8.0,9.0,17.0,5.0,11.0,4.0,0.0
38,000069.SZ,000069,13.0,17.0,3.0,0.0,12.0,11.0,4.0,0.0
39,000070.SZ,000070,8.0,0.0,9.0,8.0,0.0,11.0,8.0,0.0
40,600282.SH,600282,13.0,12.0,9.0,10.0,0.0,11.0,4.0,0.0
41,600283.SH,600283,8.0,0.0,9.0,0.0,0.0,11.0,5.0,0.0
42,600285.SH,600285,9.0,7.0,9.0,0.0,0.0,11.0,3.0,0.0
43,600287.SH,600287,9.0,0.0,9.0,10.0,0.0,11.0,1.0,0.0
44,600288.SH,600288,8.0,7.0,9.0,10.0,5.0,11.0,4.0,0.0
45,600850.SH,600850,4.0,9.0,9.0,0.0,7.0,11.0,6.0,0.0
46,600851.SH,600851,8.0,7.0,9.0,0.0,0.0,11.0,1.0,0.0
47,600853.SH,600853,8.0,0.0,9.0,6.0,0.0,11.0,1.0,0.0
48,600854.SH,600854,8.0,0.0,9.0,11.0,0.0,11.0,3.0,0.0
49,600856.SH,600856,5.0,2.0,9.0,13.0,0.0,11.0,4.0,1.0
50,600857.SH,600857,8.0,0.0,0.0,12.0,0.0,11.0,1.0,0.0
51,600858.SH,600858,6.0,2.0,9.0,11.0,0.0,11.0,1.0,0.0
52,600859.SH,600859,4.0,0.0,9.0,0.0,0.0,11.0,6.0,0.0
53,600860.SH,600860,8.0,7.0,9.0,18.0,0.0,11.0,4.0,0.0
54,600861.SH,600861,8.0,7.0,9.0,17.0,0.0,11.0,1.0,0.0
55,600862.SH,600862,6.0,0.0,9.0,6.0,0.0,11.0,4.0,0.0
56,600863.SH,600863,9.0,0.0,9.0,10.0,0.0,11.0,3.0,0.0
57,600864.SH,600864,4.0,14.0,9.0,13.0,0.0,11.0,4.0,0.0
58,600865.SH,600865,6.0,0.0,9.0,11.0,0.0,11.0,1.0,0.0
59,600866.SH,600866,8.0,7.0,9.0,12.0,0.0,11.0,4.0,0.0
60,600867.SH,600867,9.0,8.0,9.0,0.0,0.0,11.0,8.0,0.0
61,600868.SH,600868,8.0,0.0,0.0,17.0,0.0,11.0,4.0,0.0
62,600869.SH,600869,9.0,12.0,9.0,6.0,0.0,11.0,4.0,0.0
63,600871.SH,600871,9.0,14.0,7.0,19.0,0.0,11.0,4.0,0.0
64,600872.SH,600872,9.0,8.0,9.0,10.0,7.0,11.0,8.0,0.0
